CODIGO_ESTUDIANTE,PERIODO
631fcd2b-dbf4-45dc-9492-f8d61284f5d5,201510
67d1da77-e132-4f0f-bafb-985aaee4827b,201520
2473f747-206f-4940-8adb-65e4f46c167f,201610
a745c560-2d14-4557-9b9d-9d8319318ff3,201610
02749af2-1818-4662-89d8-f991bd6e574d,201620
77d4b469-0250-48bf-a42b-608aaf5aa2a1,201610
703b6490-8933-4a5d-be5f-c3690a11cbdc,201520
e8ee568b-aa04-42c0-aa52-0da31d61c574,201510
a76c8419-9936-4d29-8a21-c82302ae6316,201610
e3aa8e27-eefa-493e-a1f8-450ab1d46d6b,201620
c1fc185e-48a9-49b9-9e44-52bf24f6660a,201620
ee06a0c9-81bf-4ec6-9ce5-5ee91d006b50,201610
6c3a7364-73be-4247-a01c-dd770ac5c96b,201520
40e1266c-e752-46c5-abdd-c863666cd81c,201610
6966aa91-9cc1-40ab-b287-04fc6aec1443,201520
044355d4-12b9-4038-b013-88a044d8f3b3,201620
b296685a-bdef-4c0f-b5b6-6aa3edad60ca,201610
4003830c-7a21-44df-9353-0f8e586110b1,201520
a31ab370-bc1d-4881-97f9-01d56395944b,201510
87575457-af31-4653-83e0-c9e0d4412141,201710
53315d6b-ad2a-4870-8a5d-91cd73fe2959,201510
08ed8309-5338-4498-b3fa-7253cc6ccc2e,201610
1f5a84fa-19af-42ad-a837-e0210ba0c000,201610
78a57f23-ff48-4ca4-b22e-fa5e5cc0a99c,201620
c49211c2-79dd-44e8-8786-0331b78dabd6,201720
3ac95f55-252c-4d74-b3cc-69a526467449,201620
7fb7f7c2-965c-4d23-bd00-1473f46d8019,201520
1874663e-d6a7-4abe-ae2b-1eecbaa8b43a,201710
523d1713-4336-4776-ad37-b0617d9ffe08,201720
2679bc0e-4a62-4da8-b0ac-7daba40bc594,201720
709f7d79-45db-4cef-830e-f3522f5a00b0,201610
610febbc-cf5a-4669-befc-8f6800fa9e45,201620
19871689-9713-487f-bdee-6149653dead5,201610
612ce2e9-a540-4735-92dc-3e064023614b,201620
c3e0ebb9-4a3a-4ba8-8e72-13108584e988,201520
cbaa9705-6bea-46f8-aba6-1588fda15de3,201720
42c89c9c-7947-4512-a492-640dca9b5b0f,201520
db6dfb16-5a06-41ba-a35a-e344b2092a5a,201510
c4479639-9b8f-48cc-8d1e-9d53599fa0a8,201710
963cab11-3d06-44b2-a2eb-f0f525e55a45,201510
752caf20-2f0b-453e-99d9-cb4e8be2768a,201720
e2c47cfb-e9bf-4b0c-8150-309b9dd34334,201710
651ae6fa-b72c-4246-8abd-0b1f17d6980a,201710
a28814ae-01c5-4bbb-88ec-de5c5c9b559e,201520
279e96f8-ff67-4515-b897-8f79debc3219,201710
3340af6a-0cff-4049-a924-089145045a9e,201620
d3aaff06-2312-410c-ab5b-4f9bab55c4c9,201510
2e286b25-1f5f-4b75-a1a8-21826e4e984b,201710
a00f3491-2687-471b-8b12-3009c5a55d13,201720
21d43ef6-728a-410f-adf2-8e90d63a1933,201510
49c00876-60f0-4cf3-8510-67a130a1d916,201620
7f0cf57d-d13a-44f8-8fcb-d4eee48c63ba,201510
c11cfd6f-807c-470b-a542-9ce105c6c8e1,201620
b79e97c0-86d2-487c-b7a3-9d655529a10f,201610
cad7b8a8-60c2-464d-b177-cc1563e23194,201620
a52a555c-2470-4c55-9290-e14c1078551c,201620
76056864-6607-4bab-9b96-6c2c25124a53,201720
f8f2895b-c858-4b19-ad39-40a807be49a0,201720
e08d1a98-d7d6-431a-9c6b-9b5dbcea4a6d,201710
fbda8ca8-679d-46cd-a1bd-64ac86340719,201620
fc939f48-a61a-4cd5-aa03-f06f97d79460,201710
86f6243a-a4ad-43aa-b362-8370aa009508,201710
c9c41cfe-d00f-46f5-b744-07911570363a,201620
11735455-c1a8-4875-a506-ab690a8386ce,201620
63afe77f-361b-459b-b67e-9145c3aa40a7,201710
399d23ec-bd90-4e00-88f5-e94a7f849e79,201620
a3da8cc9-5cb9-4563-ae6e-72d65f86152b,201720
166f1cab-a4b5-4740-be58-7e0619045429,201620
337c2703-3e1e-412f-85e4-945f19a5fdaf,201620
92798f6b-81b2-48e9-ab30-a956603d13c6,201610
eef65512-144d-4591-9a3b-92065be58bd5,201620
7c6ca816-41ea-40db-8bd9-d733e25163f4,201520
6280c524-a13c-4b5c-8d6c-4c81da64f8db,201620
1c99aca4-a35d-4396-94fb-d05d19d56e02,201610
863f1c92-38e9-42ee-aad1-be57052477ca,201620
d0957bfb-df2d-4c4a-9816-f026300407ef,201720
0ed753ff-34b2-46fa-ac46-9a48f4306cf5,201620
09cffac1-631d-470f-a813-aba7aa0b408c,201720
7509ff06-6460-4a0f-b75c-60e8565ce7e4,201610
66cbedb9-57dc-47b5-8d6c-288e8acdb651,201620
c905b1f4-35b1-4607-9819-350b1756c2ee,201620
406911f8-f819-4372-890a-b4002a76a475,201520
368e89aa-2a62-4404-a945-71c1564b78e9,201610
e2cbfd34-62c2-48ed-bb78-0ff4dbeac489,201720
419f8ea2-f868-46a3-aec2-ea53c4836808,201620
f2452d0b-8930-4768-ade7-320e95cab4b9,201620
e9ed08e6-0710-4aca-9904-2a719557bcea,201710
427db0f0-cb2c-4887-bbca-b66682885fc7,201720
9364bb3b-a345-4e61-a531-22519fb2cc3f,201720
ac04609d-28a2-4a7d-b917-ba69618200fb,201620
3eb63fd0-90d7-4e06-b795-1c4944ac2c94,201710
e6a0f0be-b2a8-4813-b549-ed4607df440d,201620
32ec61a6-b549-4034-8370-b378abfc96d7,201710
09912755-7e3c-492d-bb37-419119353e37,201710
505b9ee0-80d2-4f9d-ac14-be4bcfa64b46,201720
db87a34b-0af4-403c-b208-0ec28d186e65,201720
847c8755-7772-4f5f-8e0b-77545b251dde,201710
f3e9869a-1194-4873-8e25-129ba0204d2c,201710
a3319020-b150-4c27-acf1-5ac51f2bd93b,201620
860befb1-cf03-4874-a61e-3a9b4addc3f8,201720
2848bb85-b05d-433c-8bbc-96f443c6973b,201620
ac6e5dc3-b7da-4ab3-b20a-cef501ee4e57,201710
f4002344-378e-4aef-a0a4-6f9e9660eb21,201720
42aa7b51-fe02-4178-bdb2-e8aca22a0da1,201710
283db4a5-7d6e-4e5a-9f6e-c682c9a24b33,201710
53043f97-203c-4113-809f-2897697c7c5e,201720
c03cdc98-0cf9-4142-a657-15cbe7933696,201710
490fa715-62f1-4489-b6c2-609eff65c04e,201720
b4717bf7-c508-4ee3-a537-d1c095296d71,201620
1e7f0095-0f00-4c2f-83fb-4808fd535ecb,201720
059a4cc5-0dc8-473e-9d59-817eecbafc7c,201610
8c3e9824-8a91-448c-9553-79ce18fe1efa,201720
b50b466e-37c6-4766-8f9d-fd7141b6f148,201620
6961d599-f8ca-4fd3-ac3d-915e135d88a6,201610
48b5c08b-c404-4dde-97c4-33db7be43938,201610
319c21f5-e493-48e5-bf40-e84d048947ee,201720
639163fd-87d4-42e9-a714-5d42da176eda,201620
94670b28-0ec3-486b-bc02-3883ce2baece,201720
b99470d7-94ca-435a-9438-d08f07717729,201720
a3aeb70d-ef98-4a49-9c21-d7f4ffe7094f,201710
993af0a8-9e87-4802-8b29-a2e28ed5f846,201720
02b83809-5931-4f0a-acd5-8c2796eb095b,201620
1f55d6ab-86c3-4ee9-b091-20ad3ecb3a66,201710
e819af69-6c2d-4587-a7c1-c34fedf8e568,201720
98820c19-6723-410d-998f-58b4cf10cad1,201710
ac4bc499-d9b4-4d10-be8e-32967e12404e,201620
d4a1c2f7-cd1f-4d4e-8950-9260bc320fa6,201720
83e9715a-715b-4239-878e-bb882aeb9d95,201720
f07ac59d-cbea-42ec-953c-37210abc3c1a,201710
28bd11c0-9f7e-4b30-86bd-03fcaf86fdfa,201620
97d4afa4-fc10-4f9a-b15f-393763be749d,201720
6a4408b9-aef2-40f2-9256-fd16cd1cdfa8,201710
6990d9a4-c9d4-4dd9-a613-df1eab7f4839,201620
852e9fd5-4fc0-4a12-9899-71a61a8e900f,201720
c1812073-5331-470e-ae75-2e7f2aead333,201720
cdb28f21-644d-4ac5-ab32-6d83e8b3a512,201720
10ee0e3d-d13f-4a21-af51-0f0c7d59ef99,201620
c2d6add3-2c79-4342-a5d5-11a5ecb88b3c,201710
00d79598-0849-45f3-bd5a-29ea05eb06bc,201710
bdadd839-2b9b-4526-90f1-712ed683ad50,201720
95f0649e-f7ad-4a92-b724-e8fb2e078716,201720
b34c9bb8-e98f-4c05-9568-a819b4d92d2a,201710
c277fcb2-f3f8-43d3-88db-39e1f285d96a,201720
b84a6403-d69b-45b9-b452-8390981be4cb,201710
ce207954-af9e-4b01-8557-65b249d611fa,201720
f45f0d3f-5778-460d-89c3-114f856539db,201720
b28cf52b-3511-4d53-922f-3663817092d2,201710
e33ec2ce-dc47-41f7-ac3b-ac6d59f7ab8e,201710
a866ad8c-354f-463d-9d47-5da398c0468c,201710
a51da463-053c-4363-ba77-fcad3a61aea3,201710
4c323590-6783-4a80-9ed6-d93cbaec61b7,201710
189d522c-6df0-4e32-a7c9-de1cd691d06b,201710
71eaa427-07fa-4b3f-9d1f-4e63acb91dc1,201710
291e0590-2e03-4fb1-b8c2-3135127e4287,201720
edae8a50-4fff-4180-a3be-749bcf355e08,201720
338ff9de-3670-4960-b896-f26aa40483ec,201710
2589476d-57f7-42db-98d5-c339ec160e2f,201720
fd56f4fd-09bc-40f6-af9d-30148dc870a2,201720
10d91195-ea45-4103-b06c-00d1e3bb3f77,201720
f0212a34-fbeb-4741-9345-cd4a25efb193,201720
9ae2b98f-3dd8-466b-ac88-32e76bab7240,201710
1b9f0748-b76d-4064-8b35-b0f02341f9f1,201720
7fb5de3c-158e-46d1-a82f-03f2e8e4261f,201720
3a795137-25a9-4b15-9fdc-eabf05e3ee58,201720
82546e30-c161-4f95-a919-a7a4c2572a55,201720
